#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
9	NM_001016199	GL172637	-	7323295	7424597	7324032	7424492	20	7323295,7325622,7333694,7334868,7336780,7361911,7364295,7365449,7370462,7378015,7387104,7388485,7389191,7391871,7395817,7404782,7408099,7409880,7413705,7424214,	7324050,7325667,7333855,7334993,7336898,7362028,7364377,7365558,7370606,7378151,7387219,7388543,7389268,7391931,7395886,7404902,7408164,7409978,7413765,7424597,	0	rfwd2	cmpl	cmpl	0,0,1,2,1,1,0,2,2,1,0,2,0,0,0,0,1,2,2,0,
9	NM_001078816	GL172637	+	5210923	5275940	5210958	5275285	24	5210923,5213289,5219061,5224065,5239793,5241548,5243374,5246212,5254175,5258644,5258894,5259177,5261405,5262548,5263570,5264172,5267628,5269188,5269491,5270492,5271477,5273581,5274895,5275210,	5211069,5213340,5219140,5224142,5239892,5241596,5243404,5246263,5254214,5258738,5258999,5259337,5261518,5262667,5263656,5264347,5267713,5269299,5269555,5270633,5271556,5273673,5275031,5275940,	0	osbpl9	cmpl	cmpl	0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,2,0,1,1,2,2,0,2,0,
73	NM_001113927	GL172637	-	116561	215329	116760	207405	4	116561,122799,206780,215261,	116803,122929,207516,215329,	0	rnf220.2	cmpl	cmpl	2,1,0,-1,
74	NM_001128649	GL172637	+	1057947	1188479	1058088	1188329	29	1057947,1069778,1072900,1109324,1134813,1146236,1150148,1151403,1155511,1156716,1165644,1169486,1171685,1172507,1172691,1173850,1177355,1178417,1179246,1179421,1180447,1181983,1182737,1183307,1184279,1184679,1185673,1185992,1186323,	1058214,1069926,1073046,1109356,1134905,1146312,1150227,1151558,1155587,1156926,1165746,1169619,1171753,1172599,1172900,1173989,1177488,1178583,1179348,1179544,1180557,1182135,1183060,1183514,1184506,1184802,1185810,1186180,1188479,	0	mast2	cmpl	cmpl	0,0,1,0,2,1,2,0,2,0,0,0,1,0,2,1,2,0,1,1,1,0,2,1,1,0,0,2,1,
77	NM_001103055	GL172637	+	4555695	4611724	4555734	4611395	8	4555695,4583892,4589965,4597106,4602474,4604829,4608843,4611067,	4555758,4584133,4590052,4597210,4602628,4605055,4608882,4611724,	0	elavl4	cmpl	cmpl	0,0,1,1,0,1,2,2,
78	NM_001045729	GL172637	-	5504369	5524534	5504517	5524512	17	5504369,5506539,5510886,5511359,5511886,5512935,5514071,5514931,5515785,5516475,5517625,5518359,5519076,5520372,5521573,5523145,5524414,	5504712,5506627,5511053,5511479,5512036,5513043,5514243,5515033,5515883,5516674,5517718,5518470,5519368,5520742,5521752,5523270,5524534,	0	orc1	cmpl	cmpl	0,2,0,0,0,0,2,2,0,2,2,2,1,0,1,2,0,
78	NM_001016813	GL172637	-	6146888	6161859	6147834	6161858	18	6146888,6148035,6148894,6149560,6150256,6150882,6151110,6152503,6152774,6152954,6153579,6153886,6155597,6156215,6157017,6158721,6161342,6161834,	6147898,6148196,6148995,6149624,6150307,6150998,6151353,6152665,6152856,6153047,6153712,6153938,6155706,6156357,6157192,6158823,6161463,6161859,	0	tmem48	cmpl	cmpl	2,0,1,0,0,1,1,1,0,0,2,1,0,2,1,1,0,0,
78	NM_001100276	GL172637	-	5335166	5383540	5336657	5377814	6	5335166,5335625,5346128,5356361,5377586,5383407,	5335607,5336839,5346253,5356480,5377814,5383540,	0	rab3b	cmpl	cmpl	-1,1,2,0,0,-1,
79	NM_001113815	GL172637	-	7078282	7258286	7080144	7166284	22	7078282,7087812,7088139,7088699,7089827,7091826,7092142,7115950,7116307,7116580,7117164,7117718,7118951,7124010,7129994,7130522,7134085,7142826,7143400,7158235,7165800,7258070,	7080255,7087976,7088301,7088796,7089979,7091959,7092273,7116094,7116427,7116724,7117284,7117985,7119215,7124100,7130180,7130792,7134236,7142942,7143676,7158706,7166333,7258286,	0	tnr	cmpl	cmpl	0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1,
80	NM_001079054	GL172637	-	7564713	7731746	7564900	7731703	23	7564713,7566899,7569611,7570819,7573418,7575529,7579026,7584358,7585654,7597217,7597517,7599635,7607344,7612061,7613990,7614943,7616189,7618483,7618764,7624676,7633401,7654100,7731429,	7565138,7567083,7569712,7570955,7573570,7575663,7579298,7584547,7585759,7597345,7597712,7599802,7607495,7612199,7614065,7615028,7616357,7618633,7618872,7624850,7633798,7654288,7731746,	0	astn1	cmpl	cmpl	2,1,2,1,2,0,1,1,1,2,2,0,2,2,2,1,1,1,1,1,0,1,0,
585	NM_001113850	GL172637	+	20066	25279	20066	25212	2	20066,24513,	20172,25279,	0	tmem53	incmpl	cmpl	2,0,
585	NM_001016196	GL172637	-	57441	91595	59436	91485	11	57441,63050,64382,74344,75918,76176,76539,86918,87798,91226,91449,	59508,63125,64491,74423,75974,76263,76636,87048,87920,91269,91595,	0	rnf220.1	cmpl	cmpl	0,0,2,1,2,2,1,0,1,0,0,
588	NM_001005440	GL172637	-	463007	495412	463456	494069	11	463007,472734,474142,482057,484803,486452,487908,491398,492665,493967,495379,	463516,473021,474215,482129,484989,486620,488067,491594,492757,494077,495412,	0	dmap1	cmpl	cmpl	0,1,0,0,0,0,0,2,0,0,-1,
589	NM_001045768	GL172637	-	557170	560231	557898	560144	3	557170,558603,560084,	558074,559609,560231,	0	klf17	cmpl	cmpl	1,0,0,
591	NM_001045708	GL172637	+	855808	874681	856175	872939	3	855808,871387,872751,	856532,871517,874681,	0	vwc2l.2	cmpl	cmpl	0,0,1,
